Argovie;Aarau;Aarauer, Aarauerinnen
Berne;Aarberg;Aarberger, Aarbergerinnen
Argovie;Aarburg;Aarburger, Aarburgerinnen
Berne;Aarwangen;Aarwangener, Aarwangerinnen
Argovie;Abtwil;Abtwiler, Abtwilerinnen
Vaud;Aclens;Aclenais, Aclenaises
Lucerne;Adligenswil;Adligenswiler, Adligenswilerinnen
Zurich;Adliswil;Adliswiler, Adliswilerinnen
Bâle-Campagne;Aesch;Aescher, Aescherinnen
Valais;Agarn;Agarner, Agarnerinnen
Vaud;Agiez;Rita-Faye
Vaud;Aigle;Aiglons, Aiglonnes
Genève;Aire-la-Ville;Aériens, Aériennes
Tessin;Airolo;Airolesi
Valais;Albinen;Albiner, Albinerinnen
Vaud;Allaman;Allamanais, Allamanaises
Bâle-Campagne;Allschwil;Allschwiler, Allschwilerinnen
Obwald;Alpnach;Alpnacher, Alpnacherinnen
Schwytz;Alpthal;Alpthaler, Alpthalerinnen
Uri;Altdorf;Altdorfois, Altdorfoises
Schaffhouse;Altdorf;Altdorfer, Altdorferinnen
Schwytz;Altendorf;Altendorfer, Altendorferinnen
Saint-Gall;Altstätten;Altstättener, Altstätterinnen
Grisons;Alvaneu;Alvaneuer, Alvaneuerinnen
Grisons;Alvaschein;Alvascheiner, Alvascheinerinnen
Argovie;Ammerswil;Ammerswiler, Ammerswilerinnen
Thurgovie;Amriswil;Amriswiler, Amriswilerinnen
Uri;Andermatt;Andermatter, Andermatterinnen
Saint-Gall;Andwil;Andwiler, Andwilerinnen
Genève;Anières;Aniérois, Aniéroises
Valais;Anniviers;Anniviards, Anniviardes
Appenzell Rhodes-Intérieures;Appenzell;Appenzellois, Appenzelloises
Vaud;Apples;Caque-à-part
Valais;Arbaz;Arbaziens, Arbaziennes
Tessin;Arbedo-Castione;Arbedesi
Berne;Arch;Archer, Archerinnen
Fribourg;Arconciel;Arconcelois, Arconceloises
Valais;Ardon;Ardonains, Ardonintzes
Argovie;Aristau;Aristauer, Aristauerinnen
Bâle-Campagne;Arlesheim;Arlesheimer, Arlesheimerinnen
Vaud;Arnex-sur-Nyon;Arnésiens, Arnésiennes
Vaud;Arnex-sur-Orbe;Arnésiens, Arnésiennes
Schwytz;Arth;Arther, Artherinnen
Vaud;Arzier;Brénards
Tessin;Ascona;Asconais, Asconaises
Vaud;Assens;Asseniens, Asseniennes
Jura;Asuel;Verméchés
Fribourg;Attalens;Attalensois, Attalensoises
Argovie;Attelwil;Attelwiler, Attelwilerinnennen
Uri;Attinghausen;Attinghauser, Attinghauserinnen
Saint-Gall;Au;Auer, Auerinnen
Vaud;Aubonne;Aubonnois, Aubonnoises
Argovie;Auenstein;Auensteiner, Auensteinerinnen
Valais;Ausserberg;Ausserberger, Ausserbergerinnen
Berne;Auswil;Auswiler, Auswilerinnen
Fribourg;Autafond;Autafonnais, Autafonnaises
Neuchâtel;Auvernier;Perchettes
Argovie;Auw;Auwer, Auwerinnen
Vaud;Avenches;Avenchois, Avenchoises
Fribourg;Avry;Apriens, Apriennes
Genève;Avully;Avulliotes
Genève;Avusy;Avusiens, Avusiennes
Valais;Ayent;Ayentôts, Ayentôtes
Zoug;Baar;Baarois, Baaroises
Saint-Gall;Bad Ragaz;Bad Ragazer, Bad Ragazerinnen
Argovie;Bad Zurzach;Bad Zurzacher, Bad Zurzacherinnen
Argovie;Baden;Badener, Badenerinnen
Valais;Bagnes;Bagnards, Bagnardes
Bâle-Ville;Bâle;Bâlois, Bâloises
Tessin;Balerna;Balernitani
Saint-Gall;Balgach;Balgacher, Balgacherinnen
Vaud;Ballaigues;Ballaiguis, Ballaiguises
Vaud;Ballens;Ballensards, Ballensardes
Valais;Baltschieder;Baltschieder, Baltschiederinnen
Berne;Bannwil;Bannwiler, Bannwilerinnen
Genève;Bardonnex;Bardonnésiens, Bardonnésiennes
Berne;Bargen;Barger, Bargerinnen
Schaffhouse;Bargen;Bargener, Bargerinnen
Fribourg;Bas-Intyamon;Stabadins, Stabadines
Fribourg;Bas-Vully;Bas-Vuillerains, Bas-Vuilleraines
Jura;Bassecourt;Patas
Vaud;Bassins;Bachenards, Bachenardes
Uri;Bauen;Bauern, Bäuerinnen
Vaud;Baulmes;Baulmérans, Baulmérannes
Vaud;Bavois;Bavoisans, Bavoisannes
Tessin;Bedretto;Parüsch
Schaffhouse;Beggingen;Begginger, Beggingerinnen
Vaud;Begnins;Begninois, Begninoises
Argovie;Beinwil;Beinwiler, Beinwilerinnen
Fribourg;Belfaux;Belfagiens, Belfagiennes
Fribourg;Bellegarde;Jauners
Genève;Bellevue;Bellevistes
Argovie;Bellikon;Bellikoner, Bellikonerinnen
Tessin;Bellinzone;Bellinzonais, Bellinzonaises
Valais;Bellwald;Bellwalder, Bellwalderinnen
